x1, x2, x3, y
0.39764, 0.53117, 1.64858, 0
-2.16148, 0.26983, -2.86461, 1
-1.70622, 2.23025, -1.64642, 2
-3.74430, 1.48536, -4.05141, 2
-1.88531, 2.95130, -0.11730, 2
2.28545, -0.78115, 1.64016, 0
2.06341, 0.06833, 2.59550, 0
2.29287, 1.10970, 2.21380, 0
-1.11469, -0.11635, -3.15401, 1
-2.27279, 0.75209, -1.95017, 2
-4.11577, -2.13483, -2.63196, 1
2.02261, 2.29903, 1.15818, 0
-1.41832, 1.81776, -1.48963, 2
-0.48081, 0.46896, -2.35932, 2
-1.26711, -0.83188, -2.90833, 1
-0.69709, -0.83980, -0.96461, 1
1.00096, 2.11929, 0.13993, 0
-1.39514, -2.36379, -3.30716, 1
2.36103, 3.33070, 2.47990, 0
2.52228, 1.50099, 1.48877, 0
-0.60668, -0.36607, -2.40723, 2
-0.11527, -1.07979, 1.27820, 0
1.15721, 0.99207, 1.30311, 0
-1.12508, 1.86999, -1.07283, 2
-0.86640, -2.28227, -0.98610, 1
-2.68891, -0.80142, -1.18875, 1
-1.35058, 0.84643, -2.77310, 2
3.17383, -0.53857, 1.36716, 0
-0.04983, 0.49487, 1.38704, 0
-2.27077, 0.55385, 0.42249, 1
1.90225, 0.53148, 1.31849, 0
-2.44103, -1.99200, -1.46691, 1
-1.53023, 1.22831, -3.00900, 2
-0.37352, 2.09499, -1.29136, 2
-1.59991, 0.11214, -2.14248, 1
-1.98265, -1.84278, -1.35788, 1
0.12667, -3.06137, -4.24736, 1
1.76799, 1.50715, 1.05368, 0
-1.59994, -1.11476, -1.45604, 1
-3.71045, 0.81655, -0.08798, 2
3.17644, 2.42472, 2.04913, 0
-2.55663, -1.08998, -3.65404, 1
-0.53058, -2.48098, -1.42864, 1
2.54210, 2.51391, 1.96963, 0
3.02314, 0.17056, 3.12644, 0
-0.71748, 2.02998, -1.33492, 2
2.09013, 3.62688, 2.31230, 0
2.76650, 0.96665, 0.93961, 0
-1.22362, 3.49370, -1.57283, 2
-0.65812, 1.53292, -1.19882, 2
-1.89525, -0.33321, -0.91911, 1
1.86767, 0.48165, 0.62722, 0
-2.34774, 2.64341, -0.54798, 2
0.47631, -2.32274, -0.04392, 1
-1.97283, -1.48234, -1.31536, 1
-1.54684, -1.99778, -1.16981, 1
-2.39355, -1.61324, -2.40972, 1
-0.38966, -0.33559, -3.79577, 1
-1.09421, 1.55775, -0.90082, 2
2.39915, 2.62001, 2.23554, 0
-0.88275, -2.40670, -2.59238, 1
-0.68867, 1.01079, -0.60394, 2
-2.48668, -2.21973, -2.79071, 1
-2.18473, -2.67093, -1.52307, 1
0.25189, 2.89648, -1.25361, 2
-0.16317, 0.68377, -0.25895, 0
-0.10227, 2.56240, 0.56023, 0
-0.69135, 0.61182, -1.04553, 2
1.92843, 3.33495, 1.02985, 0
-0.20033, 1.96946, -1.77902, 2
0.30437, 2.62783, 2.06278, 0
-1.90137, -0.00607, -0.80278, 2
-0.91608, -0.32954, -0.04846, 1
2.11111, 0.78497, 2.00763, 0
-1.47496, -0.35098, 0.40615, 1
1.24932, 2.32144, 0.65387, 0
0.03955, 1.79625, 0.85674, 0
0.18030, 2.92077, -1.98781, 2
-1.31030, -3.04925, -1.71231, 1
-2.98902, -1.90064, -2.16309, 1
0.24496, 0.00783, -2.67656, 2
-1.21506, 1.57646, -1.85743, 2
-1.92299, 1.94879, -1.24106, 2
-0.95991, -2.74901, -2.02803, 1
-1.41241, 0.78780, -2.32379, 2
-1.42375, -0.63863, -0.14974, 1
1.49648, 1.60221, 0.84509, 0
-0.15431, 1.53347, 1.30993, 0
3.67315, 1.94850, 1.77718, 0
1.62204, 2.96964, 0.12997, 0
-1.56304, 1.06875, -0.82499, 2
-1.88563, 0.90649, -1.26796, 2
0.30204, -1.50657, -2.63446, 1
-0.33791, -0.91058, -0.09376, 1
0.94640, 0.50162, 0.00895, 0
1.20990, 0.34153, 1.75608, 0
1.71361, 1.62995, 0.66534, 0
2.52135, 1.73824, 0.37873, 0
0.27951, -0.71399, -0.15713, 1
0.79482, 0.42563, 1.46486, 0
1.79248, 1.95874, 3.44165, 0
-2.40046, 2.30232, -4.19219, 2
-0.92873, -0.00792, -1.28776, 1
-1.27581, 0.20923, -0.33112, 1
-3.13217, 0.74992, -3.53601, 2
-3.40269, 0.61424, -2.18815, 1
2.20686, 0.66681, 0.85915, 0
-2.93087, 2.93241, -1.78387, 2
-2.83547, -2.60768, -1.77077, 1
-1.81718, -1.47527, -1.82231, 1
-2.85186, -0.08086, -2.33426, 1
-0.66236, -2.01953, -1.71193, 1
-2.83399, -1.05496, -0.25883, 1
-1.74674, -0.84638, -1.29546, 1
-1.67891, -1.83611, -2.55841, 1
-1.19670, -0.33698, -0.94246, 1
-1.68702, -3.04210, -1.96713, 1
1.33679, 2.27192, 1.45801, 0
-0.42622, -2.63745, -2.55900, 1
0.32746, -0.39664, 1.61903, 0
-1.80419, -0.02746, -1.96321, 1
-1.55541, -0.19498, 0.04917, 1
0.12773, -1.73557, -2.12003, 1
0.22787, 0.08407, 1.48398, 0
-0.85619, -0.44735, -2.37046, 1
-1.63700, -1.32902, -0.46977, 1
-1.63714, -0.13475, -1.38561, 2
2.75152, 1.58439, 2.99900, 0
-0.89410, 2.57072, -2.15260, 2
-1.16136, -1.71226, -1.24390, 1
1.63936, -0.21742, 3.89883, 0
-2.83656, 0.37304, -0.52827, 2
-1.77759, 3.21380, -1.42599, 2
0.80977, 0.46483, -2.20493, 1
0.70589, 0.16323, 1.97903, 0
-2.85442, -3.56544, -1.17108, 1
-2.10641, 2.02006, -1.54374, 2
-0.07453, -0.49582, -3.11787, 1
-2.52630, -1.79052, -3.73569, 1
-1.41871, 1.39614, -1.54616, 2
-1.42637, 2.75369, -0.20324, 2
1.38945, -0.20406, 1.80110, 0
1.73662, 2.31960, 1.34216, 0
-0.35867, 1.44869, 0.22142, 0
-1.26131, 1.29160, -1.48741, 2
-1.30906, -3.42644, -0.18753, 1
1.94319, 2.22370, 2.23147, 0
1.73940, 1.43292, 1.92422, 0
-0.28267, 1.55086, -3.45982, 2
0.16418, 1.73148, 1.42847, 0
1.09400, 3.88565, 2.57525, 0
-1.19008, 1.88986, -1.20294, 2
0.84242, 0.28366, 1.36231, 0
0.66822, 2.88259, 2.71362, 0
-0.84342, -1.87895, -1.06020, 1
-1.56558, 0.31524, -1.00877, 2
-1.08496, -1.63006, -0.17365, 1
-0.72652, -2.32646, -1.09131, 1
0.13247, -2.01013, -1.66269, 1
-2.25114, 0.50533, -2.48455, 2
0.93537, 1.05940, 1.53929, 0
-0.79225, 2.52556, -0.49670, 2
-2.33682, 1.72789, -0.13549, 2
-1.20658, 1.78567, 0.12922, 2
2.54210, 3.19314, -0.61540, 0
-2.18992, 0.70838, -0.02138, 2
-2.79715, -1.69798, -2.14585, 1
1.02587, -0.86700, 0.93662, 0
-0.15973, 3.05534, 2.17736, 0
2.85161, 0.71131, 2.05977, 0
1.54505, 0.83276, 0.97902, 0
-1.65863, 0.34780, -1.55972, 2
-1.23334, 1.35261, -0.74337, 2
0.00014, -0.41899, -1.83608, 1
0.06417, 0.35022, 0.54853, 2
-1.42586, -2.16038, 0.00279, 1
-2.57978, -2.24043, -2.68970, 1
1.92523, 2.56305, 1.31431, 0
-0.05165, -1.54302, -0.56108, 1
-1.58865, -1.39986, -2.66734, 1
1.15397, 0.78088, 0.81319, 0
0.29187, 0.81730, -0.20393, 0
-2.43333, -2.66636, -2.38762, 1
1.27768, 2.11288, 1.87834, 0
0.95878, 1.25216, 1.74644, 0
1.80364, 3.17068, 0.58007, 0
-2.85286, 0.87827, -1.82070, 2
-2.09086, 2.84109, -3.08216, 2
2.78109, 3.24735, 0.15230, 0
1.05134, 1.53858, 1.87938, 0
